,Loss,Attack,Feature,ATE Mean value,ATE p-value,Random Cause Refuter Estimated Effect,Random Cause Refuter New Effect,Placebo Treatment Refuter,Placebo Treatment p_value,Subset Refuter,Subset Refuter p_value,ATE Random Cause Refuter Estimated Effect,ATE Random Cause Refuter New Effect,ATE Subset Refuter,ATE Subset Refuter p_value
0,ce,MemguardAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
1,ce,MemguardAcc,TestBias2,1.7731669926641502,0.00467288465494266,,,,,,,0.0,0.0,0.0,0.0
2,ce,MemguardAcc,TrainAcc,-0.005043351743768687,0.44238344939821594,,,,,,,0.0,0.0,0.0,0.0
3,ce,MemguardAcc,TestAcc,-0.15626211113637412,0.18477783035158396,,,,,,,0.0,0.0,0.0,0.0
4,ce,MemguardAcc,TrainLoss,-0.175162859629103,0.9573850823414036,,,,,,,0.0,0.0,0.0,0.0
5,ce,MemguardAcc,TestLoss,0.22603774187336056,0.11148388842489121,,,,,,,0.0,0.0,0.0,0.0
6,ce,MemguardAcc,TrainVar,-0.03450321853998595,0.19909964573290437,,,,,,,0.0,0.0,0.0,0.0
7,ce,MemguardAcc,TestVar,0.16896862354898512,0.0556101211883595,,,,,,,0.0,0.0,0.0,0.0
8,ce,MemguardAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
9,ce,MemguardAcc,AccDiff,0.08045133406416605,5.039485112993323e-11,,,,,,,0.0,0.0,0.0,0.0
10,ce,MemguardAcc,NumParams,0.03928295516632441,0.01910346828551221,,,,,,,0.0,0.0,0.0,0.0
11,ce,MemguardAcc,TrainSize,-0.058701336060480225,1.7704478505380745e-09,,,,,,,0.0,0.0,0.0,0.0
12,ce,MemguardAcc,CentroidDistance.sorted_3.,0.14103512019293396,6.868320534562621e-16,,,,,,,0.0,0.0,0.0,0.0
13,ce,Oak17Acc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
14,ce,Oak17Acc,TestBias2,2.8589808135732677,3.135347266653357e-05,,,,,,,0.0,0.0,0.0,0.0
15,ce,Oak17Acc,TrainAcc,-0.10310622853578,0.25235908230105886,,,,,,,0.0,0.0,0.0,0.0
16,ce,Oak17Acc,TestAcc,-0.4367375923869756,3.805586008230977e-05,,,,,,,0.0,0.0,0.0,0.0
17,ce,Oak17Acc,TrainLoss,0.0035922776747081553,0.19068070731101683,,,,,,,0.0,0.0,0.0,0.0
18,ce,Oak17Acc,TestLoss,0.9082751742491174,0.0004046437465485968,,,,,,,0.0,0.0,0.0,0.0
19,ce,Oak17Acc,TrainVar,0.02433950744567903,0.03199130448019178,,,,,,,0.0,0.0,0.0,0.0
20,ce,Oak17Acc,TestVar,0.9483483999984065,0.00013954815071052086,,,,,,,0.0,0.0,0.0,0.0
21,ce,Oak17Acc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
22,ce,Oak17Acc,AccDiff,0.2949244662586775,1.5383982091684942e-136,,,,,,,0.0,0.0,0.0,0.0
23,ce,Oak17Acc,NumParams,0.15358874807404554,1.0299975296416333e-05,,,,,,,0.0,0.0,0.0,0.0
24,ce,Oak17Acc,TrainSize,-0.11374613640303965,2.030770127103718e-13,,,,,,,0.0,0.0,0.0,0.0
25,ce,Oak17Acc,CentroidDistance.origin.,0,0,,,,,,,0.0,0.0,0.0,0.0
26,ce,Top3MLLeakAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
27,ce,Top3MLLeakAcc,TestBias2,3.8691691175312903,1.364778677902991e-06,,,,,,,0.0,0.0,0.0,0.0
28,ce,Top3MLLeakAcc,TrainAcc,-0.0751053802910453,0.0017473342698903166,,,,,,,0.0,0.0,0.0,0.0
29,ce,Top3MLLeakAcc,TestAcc,-0.45733664993920087,0.24521091320870544,,,,,,,0.0,0.0,0.0,0.0
30,ce,Top3MLLeakAcc,TrainLoss,-0.7835242900032799,0.26782305143442914,,,,,,,0.0,0.0,0.0,0.0
31,ce,Top3MLLeakAcc,TestLoss,0.730960063703141,6.0246349829406885e-06,,,,,,,0.0,0.0,0.0,0.0
32,ce,Top3MLLeakAcc,TrainVar,-0.34314810430353515,0.03549397982537889,,,,,,,0.0,0.0,0.0,0.0
33,ce,Top3MLLeakAcc,TestVar,0.778429787720221,6.853906570243362e-07,,,,,,,0.0,0.0,0.0,0.0
34,ce,Top3MLLeakAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
35,ce,Top3MLLeakAcc,AccDiff,0.1772645347011067,3.135368357073422e-59,,,,,,,0.0,0.0,0.0,0.0
36,ce,Top3MLLeakAcc,NumParams,0.1415497272674171,0.08461044940858849,,,,,,,0.0,0.0,0.0,0.0
37,ce,Top3MLLeakAcc,TrainSize,-0.09368579020497136,8.032149598601148e-08,,,,,,,0.0,0.0,0.0,0.0
38,ce,Top3MLLeakAcc,CentroidDistance.sorted_3.,0.2740573625623476,8.653166038056748e-21,,,,,,,0.0,0.0,0.0,0.0
39,ce,Top3MLLeakLAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
40,ce,Top3MLLeakLAcc,TestBias2,3.9795641078958366,9.545992494616718e-07,,,,,,,0.0,0.0,0.0,0.0
41,ce,Top3MLLeakLAcc,TrainAcc,-0.07337465563565582,0.0010715296266284393,,,,,,,0.0,0.0,0.0,0.0
42,ce,Top3MLLeakLAcc,TestAcc,-0.321180195057417,0.01416622492617549,,,,,,,0.0,0.0,0.0,0.0
43,ce,Top3MLLeakLAcc,TrainLoss,-0.8672771245036894,0.17737021700398606,,,,,,,0.0,0.0,0.0,0.0
44,ce,Top3MLLeakLAcc,TestLoss,0.7228280732227852,4.055405680253529e-06,,,,,,,0.0,0.0,0.0,0.0
45,ce,Top3MLLeakLAcc,TrainVar,-0.3991293219973623,0.029306072550842204,,,,,,,0.0,0.0,0.0,0.0
46,ce,Top3MLLeakLAcc,TestVar,0.7538086363780104,4.853122515326907e-07,,,,,,,0.0,0.0,0.0,0.0
47,ce,Top3MLLeakLAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
48,ce,Top3MLLeakLAcc,AccDiff,0.15782347951722553,4.958869723949432e-54,,,,,,,0.0,0.0,0.0,0.0
