,Attack,Feature,ATE,p-value
31,\mlleakacc,\accdiff,    0.2314,5.78E-84
34,\mlleakacc,\centroid,    0.0000,0.00E+00
30,\mlleakacc,\lossdiff,    0.0000,0.00E+00
32,\mlleakacc,\numparams,    0.1673,2.08E-07
27,\mlleakacc,\testbias,  -75.6790,2.97E-01
29,\mlleakacc,\testvar,    0.1425,3.66E-06
26,\mlleakacc,\trainbias,    0.0000,0.00E+00
33,\mlleakacc,\trainsize,   -0.1267,2.62E-12
28,\mlleakacc,\trainvar,   -0.3409,3.72E-05
40,\mlleaklacc,\accdiff,    0.2833,2.42E-78
43,\mlleaklacc,\centroid,    0.0000,0.00E+00
39,\mlleaklacc,\lossdiff,    1.2445,5.12E-03
41,\mlleaklacc,\numparams,    0.1859,7.27E-09
36,\mlleaklacc,\testbias,    5.5391,9.45E-01
38,\mlleaklacc,\testvar,    0.1580,1.09E-06
35,\mlleaklacc,\trainbias,    0.0000,0.00E+00
42,\mlleaklacc,\trainsize,   -0.1428,9.59E-14
37,\mlleaklacc,\trainvar,   -0.3831,2.80E-06
5,\oakacc,\accdiff,    0.2873,4.69E-178
4,\oakacc,\lossdiff,    0.0000,0.00E+00
6,\oakacc,\numparams,    0.2253,1.21E-10
1,\oakacc,\testbias,   65.4845,3.24E-01
3,\oakacc,\testvar,    0.4880,2.39E-02
0,\oakacc,\trainbias,    0.0000,0.00E+00
7,\oakacc,\trainsize,   -0.1626,3.07E-21
2,\oakacc,\trainvar,   -0.0402,1.28E-07
49,\threshacc,\accdiff,    0.2294,5.86E-125
48,\threshacc,\lossdiff,    0.0000,0.00E+00
50,\threshacc,\numparams,    0.2045,6.11E-12
45,\threshacc,\testbias,  107.4913,1.16E-01
47,\threshacc,\testvar,    0.6449,2.03E-01
44,\threshacc,\trainbias,    0.0000,0.00E+00
51,\threshacc,\trainsize,   -0.1223,3.35E-18
46,\threshacc,\trainvar,   -0.0734,5.86E-05
13,\mlleaktopacc,\accdiff,    0.2288,6.95E-85
16,\mlleaktopacc,\centroid,    0.2446,5.14E-33
12,\mlleaktopacc,\lossdiff,    0.0000,0.00E+00
14,\mlleaktopacc,\numparams,    0.1662,1.14E-07
9,\mlleaktopacc,\testbias,  -45.7867,5.31E-01
11,\mlleaktopacc,\testvar,    0.1115,1.11E-06
8,\mlleaktopacc,\trainbias,    0.0000,0.00E+00
15,\mlleaktopacc,\trainsize,   -0.1322,4.51E-13
10,\mlleaktopacc,\trainvar,   -0.3589,1.20E-05
22,\mlleaktoplacc,\accdiff,    0.2240,3.54E-77
25,\mlleaktoplacc,\centroid,    0.2661,7.45E-32
21,\mlleaktoplacc,\lossdiff,    0.0000,0.00E+00
23,\mlleaktoplacc,\numparams,    0.1650,1.12E-07
18,\mlleaktoplacc,\testbias,  -58.3315,4.38E-01
20,\mlleaktoplacc,\testvar,    0.0932,3.47E-07
17,\mlleaktoplacc,\trainbias,    0.0000,0.00E+00
24,\mlleaktoplacc,\trainsize,   -0.1298,3.26E-12
19,\mlleaktoplacc,\trainvar,   -0.3976,2.50E-05
