,Attack,Feature,ATE,p-value
31,\mlleakacc,\accdiff,   -0.0951,1.81E-02
34,\mlleakacc,\centroid,    0.0000,0.00E+00
30,\mlleakacc,\lossdiff,    0.5262,4.01E-03
32,\mlleakacc,\numparams,    0.0313,7.18E-01
27,\mlleakacc,\testbias,    0.1261,6.01E-05
29,\mlleakacc,\testvar,    0.1238,3.73E-07
26,\mlleakacc,\trainbias,    0.0000,0.00E+00
33,\mlleakacc,\trainsize,   -0.0199,4.07E-03
28,\mlleakacc,\trainvar,    0.1572,1.77E-03
40,\mlleaklacc,\accdiff,    0.0732,3.91E-16
43,\mlleaklacc,\centroid,    0.0000,0.00E+00
39,\mlleaklacc,\lossdiff,    0.6361,4.58E-05
41,\mlleaklacc,\numparams,    0.0529,4.22E-01
36,\mlleaklacc,\testbias,    0.1619,8.45E-07
38,\mlleaklacc,\testvar,    0.1690,3.97E-04
35,\mlleaklacc,\trainbias,    0.0000,0.00E+00
42,\mlleaklacc,\trainsize,   -0.0292,1.62E-02
37,\mlleaklacc,\trainvar,    0.2790,5.77E-05
5,\oakacc,\accdiff,    0.0000,0.00E+00
4,\oakacc,\lossdiff,    0.2941,1.80E-91
6,\oakacc,\numparams,    0.0499,8.78E-01
1,\oakacc,\testbias,    0.0000,0.00E+00
3,\oakacc,\testvar,    0.0000,0.00E+00
0,\oakacc,\trainbias,    0.0000,0.00E+00
7,\oakacc,\trainsize,   -0.0382,7.07E-01
2,\oakacc,\trainvar,    0.4038,1.75E-29
49,\threshacc,\accdiff,    0.2069,5.91E-129
48,\threshacc,\lossdiff,    0.0000,0.00E+00
50,\threshacc,\numparams,    0.0692,6.62E-01
45,\threshacc,\testbias,   -0.2423,5.81E-10
47,\threshacc,\testvar,    0.1398,2.55E-01
44,\threshacc,\trainbias,    0.0000,0.00E+00
51,\threshacc,\trainsize,   -0.0396,1.64E-02
46,\threshacc,\trainvar,    0.2585,3.84E-03
13,\mlleaktopacc,\accdiff,    0.0000,0.00E+00
16,\mlleaktopacc,\centroid,    0.0000,0.00E+00
12,\mlleaktopacc,\lossdiff,    0.2561,4.76E-40
14,\mlleaktopacc,\numparams,    0.0363,5.62E-01
9,\mlleaktopacc,\testbias,    0.0000,0.00E+00
11,\mlleaktopacc,\testvar,    0.0223,4.19E-06
8,\mlleaktopacc,\trainbias,    0.0000,0.00E+00
15,\mlleaktopacc,\trainsize,   -0.0319,1.27E-03
10,\mlleaktopacc,\trainvar,    0.2424,5.69E-02
22,\mlleaktoplacc,\accdiff,    0.0000,0.00E+00
25,\mlleaktoplacc,\centroid,    0.0000,0.00E+00
21,\mlleaktoplacc,\lossdiff,    0.1804,6.18E-79
23,\mlleaktoplacc,\numparams,    0.0014,9.38E-01
18,\mlleaktoplacc,\testbias,    0.0000,0.00E+00
20,\mlleaktoplacc,\testvar,    0.0000,0.00E+00
17,\mlleaktoplacc,\trainbias,    0.0000,0.00E+00
24,\mlleaktoplacc,\trainsize,   -0.0261,1.50E-03
19,\mlleaktoplacc,\trainvar,    0.1858,4.47E-19
