"","Loss","Attack","Max Corr Var","Max Corr","PredCor-w_dk","MSE-w_dk"
"1","ce","MLLeakAcc","AccDiff","0.8620532912844","0.908311471072977","0.00254596142658712"
"2","mse","MLLeakAcc","AccDiff","0.867493283664763","0.903395873717372","9.55532835051276e-05"
"3","ce","MLLeakLAcc","AccDiff","0.84141213211823","0.948604249998741","0.00205108195453581"
"4","mse","MLLeakLAcc","AccDiff","0.937090405767059","0.969449711905025","6.72914314063625e-05"
"5","ce","Top3MLLeakLAcc","AccDiff","0.840937079520104","0.957931894300114","0.00157527752180807"
"6","mse","Top3MLLeakLAcc","AccDiff","0.900001345386893","0.936196620381004","9.50637415174616e-05"
"7","ce","Top3MLLeakAcc","AccDiff","0.859548413247596","0.964586834593666","0.00116106124683852"
"8","mse","Top3MLLeakAcc","AccDiff","0.904131497826215","0.921609641894861","0.000133935186284022"
"9","ce","Oak17Acc","AccDiff","0.969445900059436","0.976238011483658","0.000918484601243661"
"10","mse","Oak17Acc","AccDiff","0.962620910747371","0.968961978460561","0.000161348667193164"
"11","ce","ThresholdAcc","LossDiff","0.772951891221726","0.942552229330074","0.001772480715149"
"12","mse","ThresholdAcc","LossDiff","0.977757075522798","0.988016559673316","2.4154553302999e-05"
