"","DK?","Loss","Attack","Predcor","MSE"
"1","TRUE","ce","MLLeakAcc","0.935718129670611","0.00230704983426758"
"2","TRUE","ce","MLLeakLAcc","0.968557716625485","0.0011722033786683"
"3","TRUE","ce","Top3MLLeakLAcc","0.964186256862853","0.00221368975239712"
"4","TRUE","ce","Top3MLLeakAcc","0.966307574196993","0.00116105214021636"
"5","TRUE","ce","Oak17Acc","0.981793204201269","0.000645052083150202"
"6","TRUE","ce","ThresholdAcc","0.973928204379043","0.00090084092132862"
"7","TRUE","ce","MemguardAcc","0.661309710044645","0.00281123815862186"
"8","TRUE","mse","MLLeakAcc","0.917037619558879","0.00180509935850409"
"9","TRUE","mse","MLLeakLAcc","0.974034351682033","0.000730147002666775"
"10","TRUE","mse","Top3MLLeakLAcc","0.924415254382992","0.00172620986545748"
"11","TRUE","mse","Top3MLLeakAcc","0.946638767251272","0.00126031267720992"
"12","TRUE","mse","Oak17Acc","0.973336399174366","0.000536102262053007"
"13","TRUE","mse","ThresholdAcc","0.990601419517429","0.000243930879755265"
"14","TRUE","mse","MemguardAcc","0.712227371082489","0.00110115539253878"
